,BarsHeld,StartDate,EndDate,Symbol,BuyPrice,SellPrice,Shares,BuyValue,SellValue,TotalRisk,PnL,RMultiple,LastRecordDate,LastPrice,LastValue,LastPnL,LastRMultiple,OpenIndicator,CloseIndicator
15,2.0,2010-01-13,2010-01-14,FLI,0.94,0.93,103000.0,97105.619,94932.6795,19364.0,-2172.9395,-0.11,2010-01-14,0.93,94932.6795,-2172.9395,-0.11,ATRChannel7|3|120,ATRChannel7|3|120
16,4.0,2010-01-14,2010-01-19,LCB,0.27,0.26,360000.0,97486.74,92762.28,19440.0,-4724.46,-0.24,2010-01-19,0.26,92762.28,-4724.46,-0.24,ATRChannel7|3|120,ATRChannel7|3|120
17,4.0,2010-01-18,2010-01-28,ARA,0.41,0.39,230000.0,94578.185,88897.185,18860.0,-5681.0,-0.3,2010-01-28,0.39,88897.185,-5681.0,-0.3,ATRChannel7|3|120,ATRChannel7|3|120
18,7.0,2010-01-19,2010-01-27,COL,10.5,10.25,9200.0,96884.97,93456.015,19320.0,-3428.955,-0.18,2010-01-27,10.25,93456.015,-3428.955,-0.18,ATRChannel7|3|120,ATRChannel7|3|120
19,2.0,2010-01-22,2010-01-25,SECB,42.9167,43.3333,2200.0,94695.2694,94480.0273,18883.348,-215.2421,-0.01,2010-01-25,43.3333,94480.0273,-215.2421,-0.01,ATRChannel7|3|120,ATRChannel7|3|120
20,4.0,2010-01-25,2010-01-28,SUN,0.5,0.47,180000.0,90265.5,83842.83,18000.0,-6422.67,-0.36,2010-01-28,0.47,83842.83,-6422.67,-0.36,ATRChannel7|3|120,ATRChannel7|3|120
21,2.0,2010-01-25,2010-01-26,EVER,0.11,0.12,860000.0,94879.07,102276.36,18920.0,7397.29,0.39,2010-01-26,0.12,102276.36,7397.29,0.39,ATRChannel7|3|120,ATRChannel7|3|120
22,2.0,2010-01-25,2010-01-26,IS,0.08,0.0725,1180000.0,94678.48,84784.3275,18880.0,-9894.1525,-0.52,2010-01-26,0.0725,84784.3275,-9894.1525,-0.52,ATRChannel7|3|120,ATRChannel7|3|120
23,79.0,2010-01-26,2010-05-21,CYBR,0.77,0.63,119000.0,91900.3085,74299.0185,18326.0,-17601.29,-0.96,2010-05-21,0.63,74299.0185,-17601.29,-0.96,ATRChannel7|3|120,ATRChannel7|3|120
24,17.0,2010-01-26,2010-02-19,POPI,0.5,0.44,180000.0,90265.5,78491.16,18000.0,-11774.34,-0.65,2010-02-19,0.44,78491.16,-11774.34,-0.65,ATRChannel7|3|120,ATRChannel7|3|120
25,2.0,2010-01-27,2010-01-28,MAC,2.75,2.8,33000.0,91017.7125,91573.02,18150.0,555.3075,0.03,2010-01-28,2.8,91573.02,555.3075,0.03,ATRChannel7|3|120,ATRChannel7|3|120
26,3.0,2010-01-28,2010-02-01,JFC,54.0,52.5,1670.0,90446.031,86890.3087,18036.0,-3555.7223,-0.2,2010-02-01,52.5,86890.3087,-3555.7223,-0.2,ATRChannel7|3|120,ATRChannel7|3|120
27,8.0,2010-01-28,2010-02-08,ANI,19.5833,17.7083,4600.0,90348.9254,80729.1293,18016.636,-9619.7961,-0.53,2010-02-08,17.7083,80729.1293,-9619.7961,-0.53,ATRChannel7|3|120,ATRChannel7|3|120
28,57.0,2010-01-28,2010-04-21,ALCO,0.225,0.205,400000.0,90265.5,81266.1,18000.0,-8999.4,-0.5,2010-04-21,0.205,81266.1,-8999.4,-0.5,ATRChannel7|3|120,ATRChannel7|3|120
29,30.0,2010-01-29,2010-04-13,JOH,1.92,1.86,48000.0,92431.872,88480.944,18432.0,-3950.928,-0.21,2010-04-13,1.86,88480.944,-3950.928,-0.21,ATRChannel7|3|120,ATRChannel7|3|120
30,9.0,2010-01-29,2010-02-10,EEI,2.55,2.5,36000.0,92070.81,89194.5,18360.0,-2876.31,-0.16,2010-02-10,2.5,89194.5,-2876.31,-0.16,ATRChannel7|3|120,ATRChannel7|3|120
31,6.0,2010-02-01,2010-02-08,RFM,0.55,0.52,169000.0,93224.2025,87093.474,18590.0,-6130.7285,-0.33,2010-02-08,0.52,87093.474,-6130.7285,-0.33,ATRChannel7|3|120,ATRChannel7|3|120
32,238.0,2010-02-03,2011-01-25,ORE,1.04,3.27,85000.0,88660.78,275462.3475,17680.0,186801.5675,10.57,2011-01-25,3.27,275462.3475,186801.5675,10.57,ATRChannel7|3|120,ATRChannel7|3|120
33,5.0,2010-02-08,2010-02-12,ABA,0.95,0.84,97000.0,92421.8425,80750.754,18430.0,-11671.0885,-0.63,2010-02-12,0.84,80750.754,-11671.0885,-0.63,ATRChannel7|3|120,ATRChannel7|3|120
34,21.0,2010-02-12,2010-03-12,PX,13.5,13.5,6500.0,88008.8625,86964.6375,17550.0,-1044.225,-0.06,2010-03-12,13.5,86964.6375,-1044.225,-0.06,ATRChannel7|3|120,ATRChannel7|3|120
35,255.0,2010-02-12,2011-02-28,DMC,1.88,6.6,47000.0,88620.662,307423.71,17672.0,218803.048,12.38,2011-02-28,6.6,307423.71,218803.048,12.38,ATRChannel7|3|120,ATRChannel7|3|120
36,98.0,2010-02-12,2010-07-08,FPH,48.0,52.5,1800.0,86654.88,93654.225,17280.0,6999.345,0.41,2010-07-08,52.5,93654.225,6999.345,0.41,ATRChannel7|3|120,ATRChannel7|3|120
37,4.0,2010-02-12,2010-02-17,GLO,985.0,945.0,90.0,88911.5175,84288.8025,17730.0,-4622.715,-0.26,2010-02-17,945.0,84288.8025,-4622.715,-0.26,ATRChannel7|3|120,ATRChannel7|3|120
38,4.0,2010-02-17,2010-02-22,JGS,6.4,6.2,14300.0,91789.984,87866.493,18304.0,-3923.491,-0.21,2010-02-22,6.2,87866.493,-3923.491,-0.21,ATRChannel7|3|120,ATRChannel7|3|120
39,12.0,2010-02-19,2010-03-08,TBGI,0.35,0.345,260000.0,91268.45,88897.185,18200.0,-2371.265,-0.13,2010-03-08,0.345,88897.185,-2371.265,-0.13,ATRChannel7|3|120,ATRChannel7|3|120
40,26.0,2010-02-22,2010-04-07,ATN,0.455,0.465,200000.0,91268.45,92167.65,18200.0,899.2,0.05,2010-04-07,0.465,92167.65,899.2,0.05,ATRChannel7|3|120,ATRChannel7|3|120
41,9.0,2010-03-08,2010-03-18,BDO,38.0,37.0,2400.0,91469.04,88005.24,18240.0,-3463.8,-0.19,2010-03-18,37.0,88005.24,-3463.8,-0.19,ATRChannel7|3|120,ATRChannel7|3|120
42,5.0,2010-03-12,2010-03-18,AC,252.0833,245.8333,370.0,93545.9699,90144.244,18654.1642,-3401.7259,-0.18,2010-03-18,245.8333,90144.244,-3401.7259,-0.18,ATRChannel7|3|120,ATRChannel7|3|120
43,111.0,2010-03-18,2010-09-01,GSMI,21.25,28.5,4200.0,89513.2875,118628.685,17850.0,29115.3975,1.63,2010-09-01,28.5,118628.685,29115.3975,1.63,ATRChannel7|3|120,ATRChannel7|3|120
44,26.0,2010-03-18,2010-05-07,EVER,0.125,0.125,720000.0,90265.5,89194.5,18000.0,-1071.0,-0.06,2010-05-07,0.125,89194.5,-1071.0,-0.06,ATRChannel7|3|120,ATRChannel7|3|120
45,33.0,2010-04-07,2010-05-26,FLI,0.95,0.9,102000.0,97185.855,90978.39,19380.0,-6207.465,-0.32,2010-05-26,0.9,90978.39,-6207.465,-0.32,ATRChannel7|3|120,ATRChannel7|3|120
46,7.0,2010-04-13,2010-04-21,AT,10.5,10.0,9200.0,96884.97,91176.6,19320.0,-5708.37,-0.3,2010-04-21,10.0,91176.6,-5708.37,-0.3,ATRChannel7|3|120,ATRChannel7|3|120
47,69.0,2010-04-22,2010-08-02,AC,266.6667,265.0,360.0,96283.212,94546.17,19200.0024,-1737.042,-0.09,2010-08-02,265.0,94546.17,-1737.042,-0.09,ATRChannel7|3|120,ATRChannel7|3|120
48,133.0,2010-04-22,2011-01-05,ABSP,30.0,45.0,3200.0,96283.2,142711.2,19200.0,46428.0,2.42,2011-01-05,45.0,142711.2,46428.0,2.42,ATRChannel7|3|120,ATRChannel7|3|120
49,3.0,2010-05-21,2010-05-25,MPI,2.9,2.75,35000.0,101799.425,95388.5625,20300.0,-6410.8625,-0.32,2010-05-25,2.75,95388.5625,-6410.8625,-0.32,ATRChannel7|3|120,ATRChannel7|3|120
50,45.0,2010-05-25,2010-08-05,ANS,2.2,2.32,45000.0,99292.05,103465.62,19800.0,4173.57,0.21,2010-08-05,2.32,103465.62,4173.57,0.21,ATRChannel7|3|120,ATRChannel7|3|120
51,126.0,2010-05-27,2010-12-01,ALI,12.75,15.98,7700.0,98464.6163,121944.7383,19635.0,23480.122,1.2,2010-12-01,15.98,121944.7383,23480.122,1.2,ATRChannel7|3|120,ATRChannel7|3|120
52,130.0,2010-07-08,2011-01-19,MEG,1.38,2.2,79000.0,109341.609,172244.49,21804.0,62902.881,2.88,2011-01-19,2.2,172244.49,62902.881,2.88,ATRChannel7|3|120,ATRChannel7|3|120
53,17.0,2010-08-02,2010-08-24,VUL,0.8,0.76,140000.0,112330.4,105447.72,22400.0,-6882.68,-0.31,2010-08-24,0.76,105447.72,-6882.68,-0.31,ATRChannel7|3|120,ATRChannel7|3|120
54,116.0,2010-08-06,2011-02-16,ANS,2.36,3.0,49000.0,115981.138,145684.35,23128.0,29703.212,1.28,2011-02-16,3.0,145684.35,29703.212,1.28,ATRChannel7|3|120,ATRChannel7|3|120
55,108.0,2010-09-02,2011-02-11,APC,0.6,0.7,207000.0,124566.39,143603.145,24840.0,19036.755,0.77,2011-02-11,0.7,143603.145,19036.755,0.77,ATRChannel7|3|120,ATRChannel7|3|120
56,4.0,2010-12-01,2010-12-08,ROX,3.2,3.0,46000.0,147634.24,136764.9,29440.0,-10869.34,-0.37,2010-12-08,3.0,136764.9,-10869.34,-0.37,ATRChannel7|3|120,ATRChannel7|3|120
57,123.0,2010-12-09,2011-06-09,PLC,0.31,0.36,490000.0,152348.105,174821.22,30380.0,22473.115,0.74,2011-06-09,0.36,174821.22,22473.115,0.74,ATRChannel7|3|120,ATRChannel7|3|120
58,26.0,2011-01-06,2011-02-11,CHI,2.98,2.38,50000.0,149439.55,117934.95,29800.0,-31504.6,-1.06,2011-02-11,2.38,117934.95,-31504.6,-1.06,ATRChannel7|3|120,ATRChannel7|3|120
59,19.0,2011-01-19,2011-02-14,PAX,1.88,1.66,81000.0,152729.226,133256.583,30456.0,-19472.643,-0.64,2011-02-14,1.66,133256.583,-19472.643,-0.64,ATRChannel7|3|120,ATRChannel7|3|120
60,2.0,2011-01-26,2011-01-27,OPM,0.013,0.014,11300000.0,147333.355,156784.11,29380.0,9450.755,0.32,2011-01-27,0.014,156784.11,9450.755,0.32,ATRChannel7|3|120,ATRChannel7|3|120
61,7.0,2011-01-26,2011-02-17,IRC,0.83,0.67,177000.0,147343.3845,117528.6195,29382.0,-29814.765,-1.01,2011-02-17,0.67,117528.6195,-29814.765,-1.01,ATRChannel7|3|120,ATRChannel7|3|120
62,13.0,2011-01-27,2011-02-15,DIZ,4.3,4.19,34000.0,146631.29,141184.983,29240.0,-5446.307,-0.19,2011-02-15,4.19,141184.983,-5446.307,-0.19,ATRChannel7|3|120,ATRChannel7|3|120
63,61.0,2011-02-11,2011-05-11,MRC,0.73,0.74,188000.0,137644.858,137874.876,27448.0,230.018,0.01,2011-05-11,0.74,137874.876,230.018,0.01,ATRChannel7|3|120,ATRChannel7|3|120
64,58.0,2011-02-14,2011-05-09,AEV,37.05,38.0,3600.0,133773.471,135575.64,26676.0,1802.169,0.07,2011-05-09,38.0,135575.64,1802.169,0.07,ATRChannel7|3|120,ATRChannel7|3|120
65,20.0,2011-02-14,2011-03-14,SUN,0.54,0.51,251000.0,135939.843,126864.3105,27108.0,-9075.5325,-0.33,2011-03-14,0.51,126864.3105,-9075.5325,-0.33,ATRChannel7|3|120,ATRChannel7|3|120
66,110.0,2011-02-15,2011-08-10,LOTO,11.3333,11.6667,12000.0,136400.7988,138747.3964,27199.92,2346.5976,0.09,2011-08-10,11.6667,138747.3964,2346.5976,0.09,ATRChannel7|3|120,ATRChannel7|3|120
67,7.0,2011-02-16,2011-02-24,ICT,41.85,40.0,3200.0,134315.064,126854.4,26784.0,-7460.664,-0.28,2011-02-24,40.0,126854.4,-7460.664,-0.28,ATRChannel7|3|120,ATRChannel7|3|120
68,5.0,2011-02-17,2011-02-23,AP,28.55,26.8,4700.0,134580.8458,124832.658,26837.0,-9748.1878,-0.36,2011-02-23,26.8,124832.658,-9748.1878,-0.36,ATRChannel7|3|120,ATRChannel7|3|120
69,6.0,2011-02-24,2011-03-04,MAC,3.15,3.05,41000.0,129530.9925,123930.8025,25830.0,-5600.19,-0.22,2011-03-04,3.05,123930.8025,-5600.19,-0.22,ATRChannel7|3|120,ATRChannel7|3|120
70,4.0,2011-02-25,2011-03-02,OPM,0.013,0.014,10100000.0,131687.335,140134.47,26260.0,8447.135,0.32,2011-03-02,0.014,140134.47,8447.135,0.32,ATRChannel7|3|120,ATRChannel7|3|120
71,15.0,2011-02-28,2011-03-18,MER,238.0,221.4,550.0,131286.155,120680.1585,26180.0,-10605.9965,-0.41,2011-03-18,221.4,120680.1585,-10605.9965,-0.41,ATRChannel7|3|120,ATRChannel7|3|120
72,6.0,2011-02-28,2011-03-09,BSC,0.175,0.165,760000.0,133392.35,124277.67,26600.0,-9114.68,-0.34,2011-03-09,0.165,124277.67,-9114.68,-0.34,ATRChannel7|3|120,ATRChannel7|3|120
73,110.0,2011-03-02,2011-08-10,DMC,6.8,8.24,19600.0,133673.176,160058.5392,26656.0,26385.3632,0.99,2011-08-10,8.24,160058.5392,26385.3632,0.99,ATRChannel7|3|120,ATRChannel7|3|120
74,9.0,2011-03-04,2011-03-16,SOC,1.44,1.39,93000.0,134315.064,128113.0335,26784.0,-6202.0305,-0.23,2011-03-16,1.39,128113.0335,-6202.0305,-0.23,ATRChannel7|3|120,ATRChannel7|3|120
75,6.0,2011-03-10,2011-03-17,ICT,43.3,41.65,3100.0,134625.9785,127959.4208,26846.0,-6666.5577,-0.25,2011-03-17,41.65,127959.4208,-6666.5577,-0.25,ATRChannel7|3|120,ATRChannel7|3|120
76,5.0,2011-03-14,2011-03-18,LCB,0.46,0.46,290000.0,133793.53,132206.07,26680.0,-1587.46,-0.06,2011-03-18,0.46,132206.07,-1587.46,-0.06,ATRChannel7|3|120,ATRChannel7|3|120
77,221.0,2011-03-17,2012-02-10,LC,0.445,1.44,290000.0,129430.6975,413862.48,25810.0,284431.7825,11.02,2012-02-10,1.44,413862.48,284431.7825,11.02,ATRChannel7|3|120,ATRChannel7|3|120
78,17.0,2011-03-18,2011-04-26,DIZ,4.4,4.44,29000.0,127976.42,127607.598,25520.0,-368.822,-0.01,2011-04-26,4.44,127607.598,-368.822,-0.01,ATRChannel7|3|120,ATRChannel7|3|120
79,8.0,2011-03-21,2011-03-30,AGI,11.78,11.8,11200.0,132325.2112,130977.168,26387.2,-1348.0432,-0.05,2011-03-30,11.8,130977.168,-1348.0432,-0.05,ATRChannel7|3|120,ATRChannel7|3|120
80,81.0,2011-03-21,2011-08-15,ANS,3.18,3.24,41000.0,130764.621,131651.082,26076.0,886.461,0.03,2011-08-15,3.24,131651.082,886.461,0.03,ATRChannel7|3|120,ATRChannel7|3|120
81,90.0,2011-03-30,2011-08-10,JGS,26.6,23.5,5000.0,133392.35,116448.375,26600.0,-16943.975,-0.64,2011-08-10,23.5,116448.375,-16943.975,-0.64,ATRChannel7|3|120,ATRChannel7|3|120
82,38.0,2011-04-26,2011-06-21,BDO,54.9,52.8,2630.0,144812.9416,137621.1672,28877.4,-7191.7744,-0.25,2011-06-21,52.8,137621.1672,-7191.7744,-0.25,ATRChannel7|3|120,ATRChannel7|3|120
83,7.0,2011-05-09,2011-05-18,PA,0.065,0.064,2250000.0,146681.4375,142711.2,29250.0,-3970.2375,-0.14,2011-05-18,0.064,142711.2,-3970.2375,-0.14,ATRChannel7|3|120,ATRChannel7|3|120
84,7.0,2011-05-11,2011-05-19,CPM,2.25,2.15,65000.0,146681.4375,138499.2375,29250.0,-8182.2,-0.28,2011-05-19,2.15,138499.2375,-8182.2,-0.28,ATRChannel7|3|120,ATRChannel7|3|120
85,2.0,2011-05-18,2011-05-19,ANI,8.1667,7.8333,17600.0,144157.9351,136632.1786,28746.784,-7525.7565,-0.26,2011-05-19,7.8333,136632.1786,-7525.7565,-0.26,ATRChannel7|3|120,ATRChannel7|3|120
86,5.0,2011-05-19,2011-05-25,CYBR,1.03,0.96,142000.0,146691.467,135099.936,29252.0,-11591.531,-0.4,2011-05-25,0.96,135099.936,-11591.531,-0.4,ATRChannel7|3|120,ATRChannel7|3|120
87,25.0,2011-05-24,2011-07-01,OPM,0.015,0.013,9600000.0,144424.8,123683.04,28800.0,-20741.76,-0.72,2011-07-01,0.013,123683.04,-20741.76,-0.72,ATRChannel7|3|120,ATRChannel7|3|120
88,4.0,2011-05-27,2011-06-02,TEL,2440.0,2380.0,55.0,134595.89,129728.445,26840.0,-4867.445,-0.18,2011-06-02,2380.0,129728.445,-4867.445,-0.18,ATRChannel7|3|120,ATRChannel7|3|120
89,40.0,2011-06-09,2011-08-05,AEV,40.0,39.8,3500.0,140413.0,138053.265,28000.0,-2359.735,-0.08,2011-08-05,39.8,138053.265,-2359.735,-0.08,ATRChannel7|3|120,ATRChannel7|3|120
90,77.0,2011-06-09,2011-09-30,MWC,18.38,19.0,7700.0,141943.5017,144990.615,28305.2,3047.1133,0.11,2011-09-30,19.0,144990.615,3047.1133,0.11,ATRChannel7|3|120,ATRChannel7|3|120
91,35.0,2011-06-21,2011-08-09,AP,31.35,29.05,4500.0,141491.1713,129555.0112,28215.0,-11936.16,-0.42,2011-08-09,29.05,129555.0112,-11936.16,-0.42,ATRChannel7|3|120,ATRChannel7|3|120
92,25.0,2011-07-01,2011-08-04,LPZ,5.74,5.71,24800.0,142771.9384,140340.6084,28470.4,-2431.33,-0.09,2011-08-04,5.71,140340.6084,-2431.33,-0.09,ATRChannel7|3|120,ATRChannel7|3|120
93,36.0,2011-08-05,2011-09-28,IPM,2.91,3.53,53000.0,154684.9785,185415.5445,30846.0,30730.566,1.0,2011-09-28,3.53,185415.5445,30730.566,1.0,ATRChannel7|3|120,
94,113.0,2011-08-09,2012-02-03,STI,2.0,2.58,74000.0,148436.6,189211.266,29600.0,40774.666,1.38,2012-02-03,2.58,189211.266,40774.666,1.38,ATRChannel7|3|120,ATRChannel7|3|120
95,139.0,2011-08-10,2012-03-05,UPM,0.016,0.023,9100000.0,146029.52,207426.765,29120.0,61397.245,2.11,2012-03-05,0.023,207426.765,61397.245,2.11,ATRChannel7|3|120,ATRChannel7|3|120
96,156.0,2011-08-11,2012-07-25,ARA,0.4,0.58,360000.0,144424.8,206931.24,28800.0,62506.44,2.17,2012-07-25,0.58,206931.24,62506.44,2.17,ATRChannel7|3|120,ATRChannel7|3|120
97,28.0,2011-08-11,2011-09-22,BKR,1.1,0.92,134000.0,147834.83,122176.644,29480.0,-25658.186,-0.87,2011-09-22,0.92,122176.644,-25658.186,-0.87,ATRChannel7|3|120,ATRChannel7|3|120
98,2.0,2011-08-16,2011-08-17,GMAP,6.75,6.8,24000.0,162477.9,161739.36,32400.0,-738.54,-0.02,2011-08-17,6.8,161739.36,-738.54,-0.02,ATRChannel7|3|120,ATRChannel7|3|120
99,5.0,2011-08-17,2011-08-23,BPI,59.25,57.4,2750.0,163418.1656,156437.2425,32587.5,-6980.9231,-0.21,2011-08-23,57.4,156437.2425,-6980.9231,-0.21,ATRChannel7|3|120,ATRChannel7|3|120
100,8.0,2011-08-23,2011-09-05,COSCO,1.7,1.7,97000.0,165386.455,163424.145,32980.0,-1962.31,-0.06,2011-09-05,1.7,163424.145,-1962.31,-0.06,ATRChannel7|3|120,ATRChannel7|3|120
101,3.0,2011-09-05,2011-09-07,ALI,16.18,15.84,10200.0,165522.8562,160121.9664,33007.2,-5400.8898,-0.16,2011-09-07,15.84,160121.9664,-5400.8898,-0.16,ATRChannel7|3|120,ATRChannel7|3|120
102,14.0,2011-09-07,2011-09-26,ISM,3.68,3.5,46000.0,169779.376,159559.05,33856.0,-10220.326,-0.3,2011-09-26,3.5,159559.05,-10220.326,-0.3,ATRChannel7|3|120,ATRChannel7|3|120
103,104.0,2011-09-29,2012-02-29,LCB,1.18,1.61,126000.0,149118.606,201044.403,29736.0,51925.797,1.75,2012-02-29,1.61,201044.403,51925.797,1.75,ATRChannel7|3|120,ATRChannel7|3|120
104,17.0,2011-09-29,2011-10-21,DIZ,8.1,7.38,18400.0,149479.668,134576.6616,29808.0,-14903.0064,-0.5,2011-10-21,7.38,134576.6616,-14903.0064,-0.5,ATRChannel7|3|120,ATRChannel7|3|120
105,54.0,2011-09-29,2011-12-19,RCB,31.0,30.2,4800.0,149238.96,143662.608,29760.0,-5576.352,-0.19,2011-12-19,30.2,143662.608,-5576.352,-0.19,ATRChannel7|3|120,ATRChannel7|3|120
106,391.0,2011-09-30,2013-07-01,SHNG,1.95,3.55,76000.0,148637.19,267385.29,29640.0,118748.1,4.01,2013-07-01,3.55,267385.29,118748.1,4.01,ATRChannel7|3|120,ATRChannel7|3|120
107,2.0,2011-10-21,2011-10-24,JFC,89.3,87.25,1780.0,159422.9143,153915.0203,31790.8,-5507.8941,-0.17,2011-10-24,87.25,153915.0203,-5507.8941,-0.17,ATRChannel7|3|120,ATRChannel7|3|120
108,165.0,2011-10-24,2012-07-02,CHI,2.38,5.98,67000.0,159930.407,397074.093,31892.0,237143.686,7.44,2012-07-02,5.98,397074.093,237143.686,7.44,ATRChannel7|3|120,ATRChannel7|3|120
109,198.0,2012-02-03,2012-12-04,MJC,1.4364,2.4364,126000.0,181520.3099,304238.8717,36197.28,122718.5618,3.39,2012-12-04,2.4364,304238.8717,122718.5618,3.39,ATRChannel7|3|120,ATRChannel7|3|120
110,69.0,2012-02-10,2012-06-14,IPO,5.35,5.25,33400.0,179217.1355,173780.6175,35738.0,-5436.518,-0.15,2012-06-14,5.25,173780.6175,-5436.518,-0.15,ATRChannel7|3|120,ATRChannel7|3|120
111,81.0,2012-02-13,2012-06-11,AGI,10.66,11.9,16700.0,178547.1649,196951.3665,35604.4,18404.2016,0.52,2012-06-11,11.9,196951.3665,18404.2016,0.52,ATRChannel7|3|120,ATRChannel7|3|120
112,324.0,2012-02-14,2013-06-25,ANS,3.45,6.5,51000.0,176469.0525,328533.075,35190.0,152064.0225,4.32,2013-06-25,6.5,328533.075,152064.0225,4.32,ATRChannel7|3|120,ATRChannel7|3|120
113,16.0,2012-02-29,2012-03-22,COSCO,1.6,1.6,115000.0,184542.8,182353.2,36800.0,-2189.6,-0.06,2012-03-22,1.6,182353.2,-2189.6,-0.06,ATRChannel7|3|120,ATRChannel7|3|120
114,2.0,2012-03-05,2012-03-06,PRIM,1.67,1.75,111000.0,185916.8415,192511.4625,37074.0,6594.621,0.18,2012-03-06,1.75,192511.4625,6594.621,0.18,ATRChannel7|3|120,ATRChannel7|3|120
115,45.0,2012-03-06,2012-05-14,AT,18.3,17.98,10300.0,189046.0455,183536.5137,37698.0,-5509.5318,-0.15,2012-05-14,17.98,183536.5137,-5509.5318,-0.15,ATRChannel7|3|120,ATRChannel7|3|120
116,32.0,2012-03-22,2012-05-11,DFNN,7.14,6.18,28600.0,204806.4018,175166.1054,40840.8,-29640.2964,-0.73,2012-05-11,6.18,175166.1054,-29640.2964,-0.73,ATRChannel7|3|120,ATRChannel7|3|120
117,21.0,2012-05-14,2012-06-14,LBC,12.98,9.6,16400.0,213499.9724,156030.912,42574.4,-57469.0604,-1.35,2012-06-14,9.6,156030.912,-57469.0604,-1.35,ATRChannel7|3|120,ATRChannel7|3|120
118,13.0,2012-05-16,2012-06-01,LIHC,1.15,1.05,181000.0,208764.0425,188349.0525,41630.0,-20414.99,-0.49,2012-06-01,1.05,188349.0525,-20414.99,-0.49,ATRChannel7|3|120,ATRChannel7|3|120
